"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","8","1","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","13","23","1","5","0","19","0","8","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","31","34","2","27","3","49","0","36","1","15","7","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","36","21","2","25","4","27","0","44","1","3","7","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","53","21","1","27","12","16","0","44","1","2","8","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","75","15","0","25","17","31","1","20","0","0","10","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","108","17","0","42","21","27","0","9","0","1","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","110","25","0","10","23","18","3","16","0","0","4","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","107","24","0","10","17","25","1","7","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1"
"8歳","126","33","0","2","23","17","4","4","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","125","42","0","1","15","14","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","515","276","0","4","17","25","3","2","0","0","2","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1"
"15〜19歳","357","238","0","0","2","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","142","180","1","6","21","38","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","156","211","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","213","285","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","92","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","27","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"70〜79歳","16","89","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","10","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"合計","2314","1974","8","184","175","319","14","193","4","26","51","7","10","0","0","19","1","0","1","0","0","7","1","0","3","1","1","4","3"
