"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","2","0","0","5","0","6","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","2","5","0","58","3","141","0","23","0","30","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","0","20","14","126","7","448","7","50","0","122","3","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","2","11","27","78","5","294","10","7","0","75","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","0","21","62","89","3","225","28","2","0","48","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","15","69","63","10","160","26","1","0","51","8","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","0","0","11","84","70","16","116","36","0","0","24","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","9","73","55","10","46","17","0","0","13","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","48","53","8","25","18","1","0","12","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","3","0","3","39","36","3","21","18","0","0","7","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","28","22","4","7","10","1","0","4","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","5","51","82","3","11","8","0","2","2","5","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","2","8","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","4","12","60","0","5","2","1","3","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"合計","7","6","106","509","805","73","1505","180","88","5","390","49","19","6","1","11","0","2","4","1","0","1","0","0","0","0","0","1","0"
