"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","33","2","101","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","",""
"中央区","52","4","196","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","195","2","429","0","0","7","19","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","3","","","","","","",""
"新宿区","123","0","261","0","0","4","10","1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","","","","","","",""
"文京","162","2","489","0","2","0","8","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","","",""
"台東","156","2","359","0","1","2","24","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","129","6","197","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","","","","","","",""
"江東区","282","4","624","3","0","10","43","1","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","183","2","388","0","0","3","17","2","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"目黒区","93","1","221","1","0","2","10","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","512","31","951","1","0","31","82","3","0","1","2","0","0","0","1","0","1","0","0","0","0","1","3","0","","","","","","",""
"世田谷","485","10","1205","4","1","13","50","4","0","0","1","1","1","1","0","0","2","0","0","0","0","0","6","2","","","","","","",""
"渋谷区","135","4","246","1","1","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","","","","","","",""
"中野区","322","3","928","1","0","5","18","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","342","6","593","0","0","4","30","0","1","0","1","0","0","0","1","0","0","0","0","2","1","0","6","0","","","","","","",""
"池袋","187","5","426","0","0","1","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北区","278","2","499","0","0","2","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","241","0","446","1","0","9","7","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","398","2","778","1","0","4","19","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","","","","","","",""
"練馬区","480","3","983","1","1","31","29","7","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","312","7","984","5","6","15","38","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","269","1","461","1","0","4","14","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","4","2","","","","","","",""
"江戸川","387","7","1009","2","1","18","32","0","0","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"八王子市","757","15","1851","4","1","28","37","11","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","8","","","","","","",""
"町田市","626","5","1341","4","0","69","46","4","1","1","4","6","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","190","3","378","0","0","22","7","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"南多摩","360","16","767","1","0","6","19","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","491","11","883","0","1","18","12","0","0","1","1","2","0","0","0","0","1","0","0","0","0","0","2","0","","","","","","",""
"多摩府中","793","16","1785","1","0","35","74","1","3","2","0","0","0","0","0","0","2","0","0","1","0","0","14","2","","","","","","",""
"多摩小平","699","10","1527","1","2","25","44","11","6","1","3","0","1","0","0","0","0","0","0","3","0","0","9","1","","","","","","",""
"島しょ","16","1","40","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","9688","183","21346","34","17","373","754","52","21","19","30","16","5","3","3","0","9","0","0","8","2","1","63","20","","","","","","",""
