"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","5","0","0","0","2","0","6","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","","","","","",""
"中央区","1","0","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","3","6","1","0","3","7","0","5","5","0","0","0","0","0","0","0","0","0","0","1","0","1","2","","","","","",""
"新宿区","5","4","1","0","3","10","0","5","2","0","0","0","0","0","0","0","0","0","3","0","0","0","1","","","","","",""
"文京","0","4","0","0","0","4","1","14","4","1","0","0","0","0","0","0","0","0","2","0","0","0","1","","","","","",""
"台東","1","5","0","0","2","10","0","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","4","9","0","0","3","2","0","8","6","1","0","0","1","0","0","0","0","0","6","0","0","0","1","","","","","",""
"江東区","11","6","1","0","4","8","0","49","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","2","3","0","0","3","14","1","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","3","4","4","0","0","3","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","7","4","3","4","5","36","0","24","11","2","3","0","0","1","0","0","0","0","7","0","0","0","1","","","","","",""
"世田谷","22","10","0","0","8","10","0","32","4","1","1","0","1","0","0","1","0","1","1","0","0","0","5","","","","","",""
"渋谷区","2","2","0","0","3","3","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","","","","","",""
"中野区","8","6","0","0","8","15","4","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","7","8","0","0","3","9","1","20","8","0","2","0","0","0","0","0","0","0","5","0","0","0","3","","","","","",""
"池袋","10","7","6","0","0","2","0","18","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"北区","8","7","1","0","4","5","1","5","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","5","4","0","1","3","4","0","14","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"板橋区","6","14","0","0","8","7","0","18","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","13","11","0","1","12","14","8","34","10","1","1","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"足立","8","15","2","2","6","15","2","22","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","7","2","1","0","6","7","0","20","3","1","0","0","0","0","0","0","0","0","3","0","0","0","1","","","","","",""
"江戸川","8","15","0","1","6","7","0","30","7","4","0","0","2","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","16","9","3","1","9","15","0","47","13","2","1","0","0","0","0","1","0","0","0","0","0","0","5","","","","","",""
"町田市","8","8","0","0","6","19","3","23","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","8","4","0","0","4","1","0","18","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"南多摩","6","11","1","0","3","6","0","32","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","18","15","2","0","11","7","2","36","5","2","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","24","23","0","1","19","30","3","96","17","3","1","1","1","0","0","0","0","0","2","0","0","0","1","","","","","",""
"多摩小平","8","15","1","0","21","19","2","69","17","2","1","0","1","0","0","0","0","0","3","0","0","0","3","","","","","",""
"島しょ","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","230","237","27","11","163","296","28","717","150","31","12","3","6","1","0","7","0","1","38","1","0","1","30","","","","","",""
