"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","7","2","0","10","0","0","1","0","0","0","2","2"
"中央区","14","3","2","2","0","0","0","0","0","0","3","0"
"みなと","11","40","11","4","0","1","18","2","0","0","2","1"
"新宿区","39","21","22","43","1","2","23","2","0","0","7","2"
"文京","6","1","2","1","0","0","4","0","1","0","1","1"
"台東","1","0","0","0","0","0","0","0","0","0","2","0"
"墨田区","3","1","1","1","0","0","3","4","0","0","2","1"
"江東区","11","2","3","4","0","1","0","0","0","0","2","0"
"品川区","0","0","2","0","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","8","0","0","0","0","0","3","1","0","0","2","1"
"世田谷","0","0","0","0","0","0","2","0","0","0","0","1"
"渋谷区","10","9","5","2","0","0","1","0","0","0","5","1"
"中野区","7","0","1","10","2","1","0","0","0","0","2","1"
"杉並","1","0","1","1","0","0","2","1","0","0","2","1"
"池袋","21","13","6","9","0","0","3","6","0","0","3","1"
"北区","0","0","1","0","0","0","0","0","0","0","1","0"
"荒川区","2","1","0","1","0","0","0","0","0","0","1","0"
"板橋区","3","4","0","1","0","0","1","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","6","0","2","3","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","3","8","0","0","0","1"
"江戸川","11","2","3","3","1","1","0","0","0","0","2","0"
"八王子市","5","1","0","1","0","0","0","0","1","0","4","1"
"町田市","6","1","0","0","2","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","14","1","1","3","2","0","0","0","0","0","2","1"
"多摩府中","2","0","0","1","0","0","20","18","0","0","3","3"
"多摩小平","0","0","0","1","0","0","2","5","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","188","102","63","101","8","6","87","47","2","0","55","24"
