"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","19","15","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","28","29","2","0","30","0","7","0","9","21","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","37","47","6","2","54","1","16","0","18","86","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","12","21","34","4","2","51","1","13","0","6","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","12","24","4","9","12","38","1","16","1","1","50","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","13","26","3","6","15","46","3","7","0","1","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","20","19","0","9","19","43","3","9","0","1","44","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","22","30","1","3","16","28","4","4","0","0","20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","23","17","1","1","24","21","3","2","0","0","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","17","26","0","2","12","18","2","1","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","15","30","0","0","10","22","2","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","31","203","2","0","24","23","1","1","0","0","12","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","5","189","0","0","1","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","18","365","1","0","18","43","0","1","0","0","7","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","15","327","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","20","345","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","138","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","237","2494","137","42","155","426","21","78","2","36","404","7","10","1","0","7","0","0","0","0","0","2","0","0","0","0","0","2","0"
