"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","6","0"
"1〜4歳","0","0","0","0","0","0","9","10","0"
"5〜9歳","0","0","0","0","0","0","2","2","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","2","1","0","2","0","0","2","0","0"
"20〜24歳","15","3","2","11","0","0","2","0","0"
"25〜29歳","18","4","9","10","0","1","2","0","0"
"30〜34歳","21","4","7","16","0","0","1","0","0"
"35〜39歳","19","6","5","9","1","0","2","0","0"
"40〜44歳","10","3","4","9","0","0","2","0","0"
"45〜49歳","4","3","2","1","0","1","3","2","1"
"50〜54歳","9","2","2","3","0","0","5","0","0"
"55〜59歳","2","3","4","2","0","0","2","0","0"
"60〜64歳","3","2","2","1","0","0","2","2","0"
"65〜69歳","0","0","0","0","0","0","7","1","0"
"70歳以上","0","1","0","0","0","0","42","8","0"
"合計","103","32","37","64","1","2","93","31","1"
