"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","2","1","1","0","0","0","0","0","0","",""
"中央区","2","1","0","0","0","0","0","0","0","",""
"みなと","5","3","1","0","0","0","1","0","0","",""
"新宿区","11","13","7","8","0","0","8","1","0","",""
"文京","0","0","0","0","0","0","3","0","0","",""
"台東","9","0","9","5","3","0","0","0","0","",""
"墨田区","0","0","0","0","0","0","1","0","0","",""
"江東区","2","0","0","0","0","0","0","0","0","",""
"品川区","0","1","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","2","0","0","0","0","0","0","1","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","",""
"渋谷区","10","7","2","0","0","0","0","0","0","",""
"中野区","0","0","0","0","2","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","9","4","1","6","1","0","1","1","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","3","2","1","0","0","0","4","2","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","1","2","0","1","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","0","0","",""
"江戸川","10","0","0","1","1","0","0","0","0","",""
"八王子市","6","4","2","0","0","0","1","0","0","",""
"町田市","7","3","2","0","2","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","11","1","1","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","15","0","0","",""
"多摩小平","1","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","1","",""
"合計","91","42","27","21","9","0","38","5","1","",""
