"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","2","0","0"
"1〜4歳","0","0","0","0","0","0","5","4","0","0"
"5〜9歳","0","0","0","0","0","0","1","1","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0","0"
"15〜19歳","9","0","2","3","3","0","2","0","0","0"
"20〜24歳","37","12","14","20","0","1","0","0","0","0"
"25〜29歳","37","14","10","11","0","1","0","0","0","0"
"30〜34歳","31","14","20","24","0","2","2","1","0","0"
"35〜39歳","23","13","9","17","1","3","1","2","0","0"
"40〜44歳","20","14","5","7","1","0","3","2","0","0"
"45〜49歳","17","7","11","9","1","1","1","1","0","0"
"50〜54歳","6","7","5","4","0","1","3","3","0","0"
"55〜59歳","3","3","1","2","1","0","3","0","0","0"
"60〜64歳","2","3","2","0","2","0","3","3","0","0"
"65〜69歳","0","5","0","0","0","1","1","7","0","0"
"70歳以上","0","1","0","0","2","0","27","17","1","0"
"合計","185","93","79","97","11","10","60","43","1","0"
