"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","10","0","0","10","0","0","0","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","17","0","2","48","0","3","0","30","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","30","5","1","131","12","17","0","42","0","2","1","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","1","8","8","4","67","11","13","1","6","0","6","2","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"3歳","0","4","1","14","56","10","3","1","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","1","5","20","49","13","3","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","6","20","56","10","4","0","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","22","39","4","0","3","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","21","32","3","3","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","17","33","3","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","11","33","1","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","1","0","3","24","55","1","0","0","0","1","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","13","88","0","2","0","0","5","0","1","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","6","70","29","170","713","68","49","6","82","8","13","24","7","4","1","5","0","2","15","0","0","0","0","0","0","0","0","0"
