"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","49","241","2","8","5","33","4","18","1","1","6","0","1","0","0","1","0","1","1","0","0","1","","","","","",""
"区南部","39","190","3","11","13","45","0","5","0","3","8","1","0","3","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","55","314","11","51","17","35","4","4","1","3","15","1","2","0","0","3","1","1","0","0","0","1","","","","","",""
"区西部","60","376","4","7","11","32","1","6","1","1","7","1","0","1","0","2","0","0","0","0","0","2","","","","","",""
"区西北部","82","570","1","7","14","30","2","11","1","5","14","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","32","345","5","9","9","49","0","13","0","6","15","2","1","2","0","2","0","0","0","0","0","3","","","","","",""
"区東部","61","440","4","13","10","37","1","4","0","1","4","1","0","0","0","1","1","0","0","0","0","1","","","","","",""
"西多摩","6","89","1","2","1","10","0","9","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","47","392","1","22","14","77","0","21","0","3","12","1","3","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩西部","13","162","1","2","8","8","0","9","1","3","8","1","0","0","0","1","0","0","0","0","0","1","","","","","",""
"北多摩南部","57","343","1","7","22","41","0","10","0","6","8","1","4","1","0","0","1","1","0","0","0","1","","","","","",""
"北多摩北部","62","242","1","1","17","43","1","10","0","5","2","0","0","0","0","1","0","0","0","0","0","1","","","","","",""
"島しょ","2","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","565","3711","35","140","141","440","13","120","5","39","100","10","12","7","0","15","3","3","1","0","0","11","","","","","",""
