"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","2","0"
"1〜4歳","0","0","0","0","0","0","8","10","0"
"5〜9歳","0","0","0","0","0","0","3","3","0"
"10〜14歳","0","0","0","0","1","0","2","0","0"
"15〜19歳","9","1","0","2","0","0","0","0","0"
"20〜24歳","20","4","4","5","2","0","1","1","0"
"25〜29歳","17","15","1","1","0","0","0","0","0"
"30〜34歳","14","8","5","1","3","0","0","0","0"
"35〜39歳","7","6","0","2","1","0","1","1","0"
"40〜44歳","6","4","0","0","3","0","0","0","0"
"45〜49歳","0","3","0","0","2","0","0","0","0"
"50〜54歳","1","4","0","0","2","0","3","0","0"
"55〜59歳","0","1","0","0","0","0","1","1","0"
"60〜64歳","1","1","0","0","0","0","6","0","0"
"65〜69歳","0","3","0","0","0","0","3","0","2"
"70歳以上","0","0","0","0","0","0","26","1","3"
"合計","75","50","10","11","14","0","64","19","5"
