"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","24","128","1","0","3","8","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","4","4","3","0","2","2","2"
"中央区","0","7","168","4","0","1","34","0","5","0","1","4","0","0","0","0","3","0","0","0","0","0","0","0","5","5","3","1","0","0","0"
"みなと","6","25","337","3","2","5","20","2","6","0","0","8","0","1","0","0","0","0","0","0","1","0","0","2","9","9","6","0","1","1","1"
"新宿区","3","36","321","7","1","4","22","0","0","0","3","2","0","0","0","0","1","0","0","0","0","0","0","4","12","12","8","2","2","2","2"
"文京","5","24","435","5","2","5","24","0","1","1","0","8","0","0","0","0","0","0","0","0","0","0","0","5","7","7","4","1","1","1","1"
"台東","1","25","343","3","0","13","53","1","5","3","1","15","0","1","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"墨田区","1","32","154","2","2","2","13","1","4","0","1","4","0","0","0","0","0","0","0","2","0","0","2","2","8","8","5","1","1","1","1"
"江東区","35","53","858","14","9","11","80","1","8","1","3","20","0","1","0","0","2","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"品川区","3","31","305","6","1","8","15","2","2","2","1","9","0","0","0","0","0","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"目黒区","0","30","257","15","0","7","12","0","3","0","2","4","0","2","0","0","0","0","0","0","0","0","0","0","8","8","5","1","0","0","0"
"大田区","0","73","675","37","8","28","67","0","13","9","4","13","1","0","0","0","2","0","0","1","0","0","0","1","21","21","13","2","1","1","1"
"世田谷","2","76","1021","18","4","11","52","3","6","4","3","20","1","4","0","0","9","0","0","0","0","0","0","4","24","24","15","2","2","2","2"
"渋谷区","2","34","221","0","0","1","21","0","4","0","2","6","0","1","0","0","1","0","0","0","0","0","0","5","7","7","4","1","1","1","1"
"中野区","7","33","736","6","1","12","29","2","10","0","2","7","0","0","1","0","0","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"杉並","2","52","471","12","1","6","43","1","4","0","3","3","1","2","1","0","1","0","0","1","0","0","0","2","17","17","11","1","2","2","2"
"池袋","0","44","396","8","1","4","16","1","1","2","2","15","0","0","0","0","0","0","0","0","0","0","0","0","8","8","5","1","1","1","1"
"北区","1","53","510","14","0","23","41","4","18","1","4","12","0","0","0","0","1","0","0","0","0","0","0","0","11","11","7","1","0","0","0"
"荒川区","7","24","399","12","2","6","37","1","8","1","3","9","0","1","1","0","3","0","0","0","0","0","0","0","7","7","4","1","0","0","0"
"板橋区","4","53","509","7","1","6","23","0","4","1","2","5","0","2","0","0","7","0","0","1","1","0","0","2","16","16","10","2","1","1","1"
"練馬区","13","115","756","9","4","16","82","10","3","0","7","16","1","4","0","0","2","0","0","0","0","0","0","0","21","21","13","2","0","0","0"
"足立","1","91","1067","39","9","36","41","1","4","4","4","11","0","0","0","0","1","0","0","0","0","0","0","0","20","20","13","2","0","0","0"
"葛飾区","3","39","433","1","0","5","33","3","3","0","3","9","0","0","0","0","0","0","0","2","0","0","0","6","13","13","8","1","1","1","1"
"江戸川","8","87","940","21","8","24","31","3","2","1","3","18","0","1","1","0","3","0","0","0","0","0","0","0","19","19","12","2","0","0","0"
"八王子市","11","95","1688","15","3","42","72","8","5","12","8","31","1","2","0","0","1","0","0","0","0","0","0","3","18","18","11","2","1","1","1"
"町田市","8","50","1351","21","1","41","115","2","4","12","12","28","2","3","1","0","0","0","0","0","0","0","0","0","13","13","8","1","0","0","0"
"西多摩","1","34","286","0","1","12","26","3","0","1","0","1","1","0","0","0","0","0","0","2","0","0","0","1","14","14","8","1","1","1","1"
"南多摩","6","84","656","7","3","4","39","5","5","8","2","5","0","2","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"多摩立川","11","85","786","9","1","28","38","1","2","4","2","26","0","2","0","0","3","0","0","0","0","0","0","6","21","21","14","2","1","1","1"
"多摩府中","5","134","1887","34","2","46","74","3","12","2","4","37","4","4","0","0","1","0","0","1","0","0","0","12","33","33","21","3","3","3","3"
"多摩小平","15","114","1336","29","4","31","119","2","14","7","4","22","1","0","0","0","2","0","0","5","0","0","0","13","23","23","15","2","2","2","2"
"島しょ","0","7","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","2","1","0","1","1","1"
"合計","161","1664","19468","359","71","441","1280","60","156","76","86","370","13","33","5","0","43","0","0","16","2","0","2","72","418","418","263","39","25","25","25"
