"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","93","87","180","55"
"性器ヘルペスウイルス感染症","75","37","112","55"
"尖圭コンジローマ","56","24","80","55"
"淋菌感染症","56","31","87","55"
"膣トリコモナス症","3","12","15","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","34","28","62","25"
"ペニシリン耐性肺炎球菌感染症","10","3","13","25"
"薬剤耐性緑膿菌感染症","4","1","5","25"
