"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","2","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","4","0","0","0","12","0","7","0","1","8","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"みなと","5","0","1","3","5","1","4","0","0","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","2","17","0","8","11","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","4","0","0","3","7","1","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","7","3","4","8","3","10","0","5","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","11","0","4","3","0","3","0","3","1","0","0","0","0","0","0","1","1","0","0","0","","","","","",""
"江東区","2","6","3","6","16","0","6","0","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","3","5","0","5","4","1","8","2","2","4","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","2","7","0","3","6","0","19","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","8","13","3","13","33","0","22","1","4","9","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","15","27","7","12","25","0","28","1","4","8","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","4","5","1","1","10","0","1","0","3","2","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"中野区","3","3","0","6","7","1","13","1","1","4","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","15","4","2","6","25","5","7","0","3","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","1","6","0","1","1","1","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","8","4","0","4","10","0","7","0","1","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","1","13","0","2","6","1","8","6","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","11","4","0","3","11","0","5","3","1","5","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"練馬区","5","4","0","18","9","2","10","2","2","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","5","17","0","7","25","3","8","1","2","9","1","2","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","5","1","0","8","17","2","8","0","0","6","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江戸川","18","7","1","6","21","2","9","1","1","6","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","15","12","2","10","26","3","29","2","3","12","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","6","4","1","8","25","2","21","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","15","0","1","7","6","0","10","1","4","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","6","8","3","6","14","0","11","0","0","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","6","15","4","9","23","2","19","0","2","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","12","20","4","13","20","3","47","2","6","6","0","3","1","0","1","0","0","2","1","0","1","","","","","",""
"多摩小平","47","15","6","17","23","3","45","2","5","16","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","231","237","42","193","410","36","381","27","58","153","13","8","3","0","7","0","1","4","1","0","2","","","","","",""
