"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","232","40","0","21","47","89","3","1","1","2","0","0","0","0","0","4","0","0","0","0","0","9","8","","","","","",""
"区南部","276","50","0","15","46","115","1","1","0","2","1","0","0","2","0","2","0","0","0","0","0","0","2","","","","","",""
"区西南部","269","56","0","13","46","127","3","2","1","1","0","0","0","0","1","0","0","1","0","0","0","7","8","","","","","",""
"区西部","368","55","1","17","64","119","4","2","0","1","0","1","0","1","0","3","0","0","0","0","0","5","9","","","","","",""
"区西北部","438","100","0","19","77","161","8","8","1","1","0","0","0","0","0","5","0","0","0","0","0","2","0","","","","","",""
"区東北部","299","52","0","34","34","112","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","3","1","","","","","",""
"区東部","412","86","0","37","66","136","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","3","3","","","","","",""
"西多摩","94","9","0","3","6","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"南多摩","683","79","1","28","75","143","1","9","1","0","0","1","1","0","0","2","0","0","0","0","0","1","2","","","","","",""
"北多摩西部","180","38","0","8","58","43","1","1","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","386","63","0","22","63","100","4","5","0","1","0","0","0","0","0","0","1","0","0","0","0","7","11","","","","","",""
"北多摩北部","234","44","0","35","51","80","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","6","5","","","","","",""
"島しょ","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3889","674","2","252","633","1243","28","37","4","16","2","2","1","3","1","18","1","1","0","0","0","43","51","","","","","",""
