"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","10","5","1","18","3","0","8","0","0","",""
"区南部","1","1","1","0","0","0","0","0","0","",""
"区西南部","15","12","0","1","0","0","0","0","0","",""
"区西部","19","15","25","4","3","0","4","1","0","",""
"区西北部","9","5","1","4","2","0","3","0","0","",""
"区東北部","4","0","0","0","1","0","0","0","0","",""
"区東部","10","3","1","0","2","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","5","6","2","2","1","0","2","0","1","",""
"北多摩西部","13","0","0","1","1","0","0","0","0","",""
"北多摩南部","0","1","0","0","0","0","15","0","0","",""
"北多摩北部","1","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","87","48","31","30","13","0","34","1","1","",""
