"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央","1","0","0","0","0","0","0","0","0","",""
"日本橋","0","0","0","0","0","0","0","0","0","",""
"みなと","1","1","0","1","0","0","3","0","0","",""
"新宿区","24","9","12","6","2","1","14","2","0","",""
"小石川","0","0","0","0","0","0","5","4","0","",""
"本郷","0","0","0","0","0","0","0","0","0","",""
"台東","28","27","3","2","12","0","0","0","0","",""
"向島","0","1","0","0","0","0","0","0","0","",""
"本所","0","0","0","0","0","0","1","0","0","",""
"城東","3","0","0","0","0","0","0","0","0","",""
"深川","0","1","0","0","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","2","1","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","4","0","0","",""
"渋谷区","2","0","0","0","0","0","1","2","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","13","4","1","2","1","0","5","0","0","",""
"長崎","0","0","0","0","0","0","0","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川","3","1","0","0","0","0","0","0","0","",""
"板橋区","0","0","0","0","0","0","4","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"千住","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"小岩","0","0","0","0","0","0","0","0","0","",""
"八王子","9","1","1","0","2","0","0","0","0","",""
"秋川","0","0","0","0","0","0","0","0","0","",""
"町田市","1","1","0","1","0","0","0","0","0","",""
"多摩川","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","6","1","1","1","3","1","0","0","0","",""
"村山大和","0","0","0","0","0","0","0","0","0","",""
"府中小金井","0","0","0","0","0","0","0","0","0","",""
"狛江調布","0","0","0","0","0","0","0","0","0","",""
"三鷹武蔵野","3","4","2","0","0","1","0","0","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"多摩東村山","0","0","0","0","0","0","5","1","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","96","52","20","13","20","3","42","9","0","",""
