"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","11","1","0","3","0","1","0","0","0","",""
"みなと","3","4","1","3","0","0","0","0","0","",""
"新宿区","18","6","7","15","0","0","39","10","1","",""
"文京","0","0","0","0","0","0","6","4","0","",""
"台東","0","0","0","0","0","0","0","0","0","",""
"墨田区","5","0","0","4","0","0","2","3","0","",""
"江東区","9","1","4","11","0","0","0","0","0","",""
"品川区","0","0","0","1","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","2","1","0","3","0","0","2","2","0","",""
"世田谷","0","0","0","0","0","0","4","1","0","",""
"渋谷区","5","2","1","0","0","0","3","0","0","",""
"中野区","4","0","0","1","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","16","5","11","8","0","0","3","0","0","",""
"北区","1","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","3","2","1","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","1","3","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","5","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","12","1","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","2","0","0","11","0","0","0","0","0","",""
"多摩府中","2","0","0","0","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","14","2","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","79","23","27","64","0","1","90","23","1","",""
