"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","22","3","0"
"1〜4歳","0","0","0","0","0","0","16","27","0"
"5〜9歳","0","0","0","0","0","0","8","7","0"
"10〜14歳","0","0","0","0","1","0","3","0","0"
"15〜19歳","13","1","1","4","0","0","0","0","0"
"20〜24歳","35","14","8","18","4","0","1","1","0"
"25〜29歳","39","20","13","13","0","2","4","0","0"
"30〜34歳","27","19","15","12","5","5","0","1","0"
"35〜39歳","24","10","4","13","1","1","3","2","0"
"40〜44歳","12","10","2","4","4","0","0","0","0"
"45〜49歳","3","6","3","3","2","1","4","0","0"
"50〜54歳","4","7","2","2","2","1","5","0","0"
"55〜59歳","3","7","0","2","0","0","6","1","1"
"60〜64歳","4","1","0","0","0","1","11","2","0"
"65〜69歳","1","3","2","0","0","0","13","0","2"
"70歳以上","1","0","0","0","0","0","66","2","9"
"合計","166","98","50","71","19","11","162","46","12"
