"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","11","4","2","7","0","0","1","0","0","0","",""
"中央区","12","2","1","2","0","0","0","0","0","0","",""
"みなと","6","26","7","4","0","2","7","2","0","0","",""
"新宿区","31","13","14","40","1","10","13","3","0","0","",""
"文京","5","1","2","2","0","0","4","0","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","5","1","4","1","0","0","4","2","1","0","",""
"江東区","10","6","0","7","0","0","0","0","0","0","",""
"品川区","10","2","1","10","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","1","0","0","2","0","0","0","",""
"世田谷","0","0","0","0","0","0","3","0","0","0","",""
"渋谷区","6","4","0","4","0","0","0","0","0","0","",""
"中野区","1","1","1","4","0","2","0","0","0","0","",""
"杉並","6","0","0","1","0","0","2","0","0","0","",""
"池袋","9","6","4","11","0","1","4","3","0","0","",""
"北区","1","1","4","1","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","0","5","0","0","1","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","6","0","0","2","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","4","0","0","",""
"江戸川","7","3","1","0","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","8","10","0","0","",""
"多摩小平","0","0","0","0","0","0","3","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","127","70","41","102","1","15","53","27","1","0","",""
