"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","106","130","236","55"
"性器ヘルペスウイルス感染症","48","41","89","55"
"尖圭コンジローマ","48","31","79","55"
"淋菌感染症","80","14","94","55"
"膣トリコモナス症","1","18","19","55"
"梅毒様疾患","10","1","11","55"
"メチシリン耐性黄色ブドウ球菌感染症","117","70","187","25"
"ペニシリン耐性肺炎球菌感染症","23","16","39","25"
"薬剤耐性緑膿菌感染症","3","4","7","25"
