"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","10","2","0","0"
"1〜4歳","0","0","0","0","0","0","5","3","0","0"
"5〜9歳","0","0","0","0","0","0","3","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","0","0","0","1","0","0","0"
"20〜24歳","15","1","1","12","0","0","0","0","0","0"
"25〜29歳","16","11","3","12","0","0","1","0","0","0"
"30〜34歳","28","12","8","16","0","0","1","0","0","0"
"35〜39歳","27","16","10","16","0","2","0","0","0","0"
"40〜44歳","14","8","5","12","0","2","1","2","0","0"
"45〜49歳","6","12","4","11","1","0","0","0","0","0"
"50〜54歳","1","5","1","1","0","0","1","0","0","0"
"55〜59歳","3","2","0","1","0","1","1","2","0","0"
"60〜64歳","2","4","0","0","0","1","8","1","0","0"
"65〜69歳","1","1","1","1","0","0","6","2","0","0"
"70歳以上","0","1","1","0","0","0","26","17","1","0"
"合計","114","73","34","82","1","6","64","29","1","0"
