"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","11","0"
"1〜4歳","0","0","0","0","0","0","2","16","0"
"5〜9歳","0","0","0","0","0","0","0","5","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","1","0","0","0","0","0","1","0","1"
"20〜24歳","12","5","4","6","0","1","2","0","0"
"25〜29歳","24","5","7","10","0","0","0","2","0"
"30〜34歳","13","6","9","14","0","0","2","0","0"
"35〜39歳","21","6","5","16","0","0","1","0","0"
"40〜44歳","10","15","7","6","1","0","3","0","0"
"45〜49歳","4","0","3","9","0","0","2","1","0"
"50〜54歳","4","4","1","2","0","1","3","0","0"
"55〜59歳","6","3","3","3","1","0","3","2","0"
"60〜64歳","2","1","0","2","0","0","5","0","0"
"65〜69歳","0","1","0","0","0","0","10","1","1"
"70歳以上","0","1","0","0","0","0","42","4","3"
"合計","97","47","39","68","2","2","81","42","5"
