"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","16","0","0"
"1〜4歳","0","0","0","0","0","0","11","5","0"
"5〜9歳","0","0","0","0","0","0","0","1","0"
"10〜14歳","0","0","0","0","0","0","4","0","0"
"15〜19歳","7","0","1","3","1","0","2","0","0"
"20〜24歳","37","10","10","18","0","1","0","1","0"
"25〜29歳","49","13","12","25","5","2","0","0","0"
"30〜34歳","38","19","15","11","2","4","0","0","0"
"35〜39歳","19","16","15","10","1","3","1","0","0"
"40〜44歳","18","17","12","9","0","1","0","0","0"
"45〜49歳","13","12","5","6","1","1","2","0","0"
"50〜54歳","9","10","3","4","1","1","1","1","0"
"55〜59歳","0","4","3","0","0","0","5","0","0"
"60〜64歳","1","4","0","0","0","1","1","1","0"
"65〜69歳","1","2","0","0","0","0","3","1","0"
"70歳以上","0","4","1","0","0","0","33","5","2"
"合計","192","111","77","86","11","14","79","15","2"
