"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","1","0","4","1","0","0","2","0","1","0","1","0","0","0","0","0","0","0"
"〜1歳","0","1","3","1","25","1","11","2","22","0","7","0","0","0","0","0","0","0","0","0"
"1歳","0","1","3","1","28","2","18","5","30","0","16","3","3","0","0","0","0","0","0","0"
"2歳","0","0","6","3","29","5","17","3","7","0","4","4","3","0","0","0","0","0","0","0"
"3歳","0","0","1","6","24","7","6","5","1","1","7","1","1","0","0","0","0","0","1","0"
"4歳","0","0","5","7","11","1","5","1","1","0","4","1","1","0","0","0","0","0","0","0"
"5歳","0","0","2","5","15","4","1","3","0","0","1","3","1","0","0","0","0","0","0","0"
"6歳","0","0","0","4","9","3","3","4","0","1","1","5","0","0","0","0","0","0","0","0"
"7歳","0","0","0","4","7","0","3","3","0","0","1","2","0","0","0","0","0","0","0","0"
"8歳","0","0","0","0","6","0","1","0","0","1","0","3","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","3","1","1","2","0","1","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","4","18","1","1","1","0","2","0","2","0","0","0","0","0","0","1","0"
"15〜19歳","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","0","5","44","0","5","3","0","4","0","0","0","0","0","2","0","0","0","0"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","8","2","21","44","228","26","72","32","63","10","44","25","10","0","0","12","0","0","3","0"
