"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","1","5","758","6","0","2","13","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"〜1歳","3","5","*","12","3","2","54","2","6","1","7","12","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","16","4080","39","15","6","107","1","36","3","30","69","2","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"2歳","2","6","*","15","9","14","85","7","18","7","6","52","1","4","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1"
"3歳","2","9","*","3","4","29","61","6","7","5","5","17","2","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"4歳","3","3","*","1","2","31","68","5","6","12","0","8","0","2","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"5歳","1","2","2288","0","3","33","61","3","6","6","0","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","7","5","*","0","2","29","40","12","3","3","0","10","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","2","5","*","0","1","39","30","8","1","3","0","3","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"8歳","2","4","*","0","2","22","28","11","1","0","0","3","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","10","3","*","0","0","17","20","9","0","3","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","23","46","1016","1","4","24","62","20","1","2","2","6","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","9","38","294","0","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","5","79","354","0","3","7","45","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"30〜39歳","4","83","370","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","1","2"
"40〜49歳","6","101","430","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5"
"50〜59歳","5","106","356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"60〜69歳","4","59","251","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","3"
"70〜79歳","2","43","172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","10"
"80歳以上","1","31","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","0","0","0","0","0","0","0","1","0","20"
"合計","93","649","10483","77","48","259","683","84","87","46","51","203","11","20","3","0","10","1","0","5","1","0","2","55","0","0","1","0","0","1","1","4","1","51"
