"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","122","115","237","55"
"性器ヘルペスウイルス感染症","43","37","80","55"
"尖圭コンジローマ","42","34","76","55"
"淋菌感染症","64","10","74","55"
"膣トリコモナス症","0","14","14","55"
"梅毒様疾患","11","3","14","55"
"メチシリン耐性黄色ブドウ球菌感染症","93","49","142","25"
"ペニシリン耐性肺炎球菌感染症","16","13","29","25"
"薬剤耐性緑膿菌感染症","3","1","4","25"
