"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","12","6","1","4","0","0","24","9","0","",""
"区南部","0","0","0","2","0","0","0","0","0","",""
"区西南部","8","2","1","2","0","0","25","8","0","",""
"区西部","23","0","4","17","2","0","36","9","4","",""
"区西北部","31","11","9","14","0","0","7","5","0","",""
"区東北部","1","4","0","4","0","0","3","0","0","",""
"区東部","20","21","4","24","0","2","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","10","0","0","",""
"北多摩西部","7","0","2","17","0","0","0","0","0","",""
"北多摩南部","5","3","2","5","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","1","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","107","47","23","89","2","2","107","32","4","",""
