"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","5","4","29","1","38","2","8","0","0","59","0","1","0","0","0","1","0","0","2","0","0","1","","","","","",""
"区南部","0","0","5","2","16","0","32","7","3","0","0","44","0","1","1","0","0","1","0","0","0","0","0","1","","","","","",""
"区西南部","0","0","6","3","25","3","29","0","10","0","0","23","0","1","5","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","2","3","28","0","46","0","4","0","0","35","0","4","1","0","0","3","0","0","0","2","1","4","","","","","",""
"区西北部","0","0","4","4","7","8","55","2","6","0","2","24","0","5","2","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","2","4","3","9","66","0","4","0","0","40","0","1","0","0","0","4","0","0","0","0","0","0","","","","","",""
"区東部","0","0","10","2","16","4","107","0","2","0","0","24","0","2","0","0","0","2","0","0","4","0","0","0","","","","","",""
"西多摩","0","0","1","0","2","2","30","1","2","0","0","35","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","4","0","21","2","19","0","3","0","0","29","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","2","4","1","3","0","0","0","0","3","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","2","0","5","2","17","4","3","0","0","17","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","2","2","24","2","25","2","5","0","0","54","0","0","6","0","0","3","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","0","0","43","26","180","34","467","18","51","0","2","387","1","21","17","0","0","16","0","0","6","2","1","6","","","","","",""
