"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","13","3","0","0"
"1〜4歳","0","0","0","0","0","0","7","5","0","0"
"5〜9歳","0","0","0","0","0","0","5","4","0","0"
"10〜14歳","0","0","0","0","0","0","6","1","0","0"
"15〜19歳","10","3","3","4","0","0","1","0","0","0"
"20〜24歳","40","14","16","13","4","3","0","0","0","0"
"25〜29歳","67","13","20","22","2","1","0","0","0","0"
"30〜34歳","48","25","11","14","1","1","0","1","0","0"
"35〜39歳","38","26","13","15","1","3","0","2","0","0"
"40〜44歳","14","12","10","10","3","3","4","0","0","0"
"45〜49歳","14","14","7","8","2","3","4","0","0","0"
"50〜54歳","8","10","6","5","0","0","3","1","1","0"
"55〜59歳","2","5","2","0","0","2","3","0","0","0"
"60〜64歳","2","3","3","0","1","1","3","2","0","0"
"65〜69歳","1","4","2","0","0","0","7","1","0","0"
"70歳以上","0","6","2","0","1","0","37","14","2","0"
"合計","244","135","95","91","15","17","93","34","3","0"
