"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1〜4歳","0","0","0","0","0","0","3","17","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0"
"15〜19歳","16","2","0","8","1","0","1","0","0"
"20〜24歳","34","7","7","5","5","0","0","0","0"
"25〜29歳","32","7","4","3","7","0","1","0","0"
"30〜34歳","12","11","1","1","5","1","1","1","0"
"35〜39歳","5","7","1","2","4","1","1","1","0"
"40〜44歳","5","4","0","1","4","0","2","0","0"
"45〜49歳","4","1","0","1","1","0","2","0","0"
"50〜54歳","0","0","0","0","6","0","1","0","0"
"55〜59歳","0","1","0","0","3","0","3","0","0"
"60〜64歳","0","0","0","0","1","0","7","2","0"
"65〜69歳","0","0","0","0","0","0","8","2","1"
"70歳以上","0","1","0","0","0","0","21","1","1"
"合計","108","41","13","21","37","2","58","27","2"
