"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","0","2"
"中央区","10","1","1","3","0","0","0","0","0","2","0"
"みなと","18","9","2","3","0","2","0","0","0","2","1"
"新宿区","44","13","15","21","2","1","50","9","1","5","2"
"文京","0","0","0","0","0","0","9","18","0","1","1"
"台東","31","22","2","5","18","0","0","0","0","4","0"
"墨田区","6","2","6","2","0","0","7","2","0","1","1"
"江東区","32","6","6","22","0","0","0","0","0","3","0"
"品川区","0","0","0","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","0","0","0","1","0","0","4","0","0","3","1"
"世田谷","0","0","0","0","0","0","10","0","0","0","2"
"渋谷区","3","1","0","0","0","0","3","1","0","3","2"
"中野区","4","1","0","2","0","1","0","0","0","1","1"
"杉並","0","0","0","0","0","0","0","0","0","0","1"
"池袋","34","12","13","11","0","1","9","3","0","3","1"
"北区","1","0","1","2","0","0","0","0","0","1","0"
"荒川区","1","1","2","1","0","0","0","0","0","1","0"
"板橋区","0","1","4","5","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","6","0","2","1","0","0","0","0","0","1","0"
"葛飾区","0","0","0","0","0","0","8","0","0","0","1"
"江戸川","0","0","0","0","0","0","0","0","0","0","0"
"八王子","11","1","1","0","1","5","8","0","1","3","1"
"秋川","0","0","0","0","0","0","0","0","0","0","0"
"町田市","3","0","0","0","0","0","0","0","0","1","0"
"多摩川","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","15","1","1","17","0","2","0","0","0","2","1"
"村山大和","0","0","0","0","0","0","0","0","0","0","0"
"府中小金井","0","0","0","0","0","0","0","0","0","0","1"
"狛江調布","0","0","0","0","0","0","0","0","0","0","0"
"三鷹武蔵野","1","0","0","1","0","0","0","0","0","1","1"
"多摩小平","0","0","0","0","0","0","6","1","0","0","1"
"多摩東村山","0","0","0","0","0","0","0","0","0","0","1"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","220","71","56","97","21","12","114","34","2","41","25"
