"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1〜4歳","0","0","0","0","0","0","3","14","0"
"5〜9歳","0","0","0","0","0","0","3","0","1"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","2","0","0","2","0","0","1","0","0"
"20〜24歳","14","1","2","11","0","0","0","0","0"
"25〜29歳","21","8","6","13","0","1","0","0","0"
"30〜34歳","24","7","12","13","0","3","0","0","0"
"35〜39歳","12","8","10","11","0","3","1","0","0"
"40〜44歳","19","7","13","7","0","1","2","0","0"
"45〜49歳","6","7","4","3","0","0","0","0","0"
"50〜54歳","8","2","2","0","0","0","0","0","0"
"55〜59歳","5","3","0","4","0","1","0","2","0"
"60〜64歳","2","3","1","1","0","0","7","1","0"
"65〜69歳","0","2","1","2","0","0","4","1","0"
"70歳以上","1","3","0","0","0","0","35","4","0"
"合計","114","51","51","67","0","9","62","24","1"
