"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","21","1","0","33","1","0","0","6","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","38","4","4","364","14","5","1","60","1","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","3","35","31","7","928","39","32","1","92","0","3","0","3","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"2歳","3","9","11","21","621","53","22","1","6","0","0","0","4","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"3歳","5","2","20","51","564","52","11","3","0","0","4","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","6","3","33","68","578","76","12","1","2","0","2","10","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"5歳","9","1","17","80","427","34","6","1","1","0","2","7","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","6","1","8","74","367","22","4","3","0","0","3","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","4","0","3","76","310","16","1","2","0","0","2","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","7","0","1","57","270","12","3","0","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","3","0","1","39","216","8","2","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","29","0","7","69","569","13","1","0","0","0","0","7","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","1","3","148","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","11","0","6","17","815","3","1","1","0","3","1","1","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","2","0","0","0","0","0","0","0","0","0"
"40〜49歳","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","128","110","144","566","6210","343","100","15","167","4","20","56","20","3","0","23","0","2","19","0","0","0","0","0","0","0","0","0"
