"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","7","4","0"
"1〜4歳","0","0","0","0","0","0","2","6","0"
"5〜9歳","0","0","0","0","0","0","1","1","0"
"10〜14歳","0","0","0","0","1","0","2","1","0"
"15〜19歳","16","1","5","3","0","0","0","0","0"
"20〜24歳","32","7","5","8","1","0","0","1","0"
"25〜29歳","31","14","11","6","1","0","0","0","0"
"30〜34歳","19","5","3","2","3","0","1","0","0"
"35〜39歳","11","1","4","1","2","0","1","2","0"
"40〜44歳","5","2","1","1","1","0","1","0","0"
"45〜49歳","0","0","4","0","3","0","0","1","0"
"50〜54歳","1","0","0","0","0","0","3","0","0"
"55〜59歳","0","2","0","0","0","0","0","0","0"
"60〜64歳","0","2","0","0","1","0","3","0","0"
"65〜69歳","0","2","0","0","0","0","1","0","0"
"70歳以上","0","1","0","0","1","0","29","0","1"
"合計","115","37","33","21","14","0","51","16","1"
