"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","8","1","2","10","2","0","0","0","0","",""
"区南部","20","1","7","7","0","0","1","0","0","",""
"区西南部","5","3","2","0","0","0","5","0","0","",""
"区西部","5","2","0","1","0","0","5","0","0","",""
"区西北部","8","2","0","0","0","0","0","0","0","",""
"区東北部","7","1","1","2","0","0","0","1","0","",""
"区東部","20","1","4","3","1","0","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","3","0","0","0","1","0","0","0","0","",""
"北多摩西部","7","0","1","0","1","0","0","0","0","",""
"北多摩南部","3","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","86","11","17","23","5","0","15","1","0","",""
