"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","8","2","1","7","0","0","2","0","0","",""
"中央区","9","4","1","1","0","0","0","0","0","",""
"みなと","15","50","5","6","0","0","3","0","0","",""
"新宿区","33","7","32","20","0","2","13","0","0","",""
"文京","9","0","1","5","0","0","1","0","0","",""
"台東","1","0","1","3","0","0","0","0","0","",""
"墨田区","2","0","0","0","0","0","2","1","0","",""
"江東区","9","2","3","3","0","0","0","0","0","",""
"品川区","14","5","3","4","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","5","0","0","3","0","0","4","0","0","",""
"世田谷","0","0","0","0","0","0","5","0","0","",""
"渋谷区","9","1","1","2","1","0","0","0","0","",""
"中野区","6","0","0","2","0","0","0","0","0","",""
"杉並","3","1","3","0","0","0","0","0","0","",""
"池袋","7","3","3","6","0","1","2","1","2","",""
"北区","1","0","2","1","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","4","0","2","4","0","0","1","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","1","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","3","2","0","",""
"江戸川","3","0","0","1","0","0","0","0","0","",""
"八王子市","1","0","0","0","0","0","1","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","1","0","0","0","0","0","16","0","1","",""
"多摩小平","0","0","0","0","0","0","6","2","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","141","75","58","68","1","3","60","6","3","",""
