"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","6","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","6","1","0","26","0","7","1","15","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","6","12","8","4","39","2","52","2","25","5","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2歳","6","3","6","12","58","4","39","6","10","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","4","2","5","19","43","2","34","4","2","3","2","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"4歳","22","1","5","22","25","4","23","2","1","2","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"5歳","14","0","4","29","32","5","13","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","20","0","5","35","31","3","15","4","0","1","2","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"7歳","13","0","0","33","21","3","12","1","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"8歳","17","0","1","23","15","8","6","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","9","2","0","14","17","3","2","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","30","0","0","20","36","2","2","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","4","0","0","1","16","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","12","0","0","21","61","1","5","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","32","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","226","32","35","233","427","38","210","28","53","27","7","2","3","0","7","0","0","15","0","0","3","0","0","0","0","0","3","0"
