"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","15","0","0","5","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","37","3","1","4","21","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","","","","","",""
"新宿区","25","0","1","7","13","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","21","0","0","1","11","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"台東","26","1","0","3","12","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","33","0","0","2","6","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","69","1","0","7","36","2","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","17","0","0","6","19","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","22","0","1","9","15","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","75","1","2","16","39","2","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","116","0","1","34","32","2","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","25","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","",""
"中野区","68","0","0","5","36","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","56","0","0","6","25","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","24","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","44","0","0","5","15","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","68","0","0","3","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"板橋区","39","0","0","5","12","1","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","","","","","",""
"練馬区","88","0","0","13","35","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","68","2","0","9","26","4","0","2","2","0","0","6","0","0","0","3","0","0","0","0","0","0","","","","","",""
"葛飾区","70","0","0","12","8","2","0","0","1","0","0","2","0","0","0","2","0","0","1","0","1","1","","","","","",""
"江戸川","88","1","3","13","37","0","0","1","2","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","134","2","2","10","39","0","0","1","1","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","71","0","0","16","26","2","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","81","0","0","5","15","0","1","1","2","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","71","0","0","6","16","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","120","1","1","19","20","1","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩府中","194","1","2","8","21","4","0","0","4","0","1","10","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩小平","136","0","5","28","24","1","0","5","5","0","0","0","0","0","0","1","0","0","0","0","0","1","","","","","",""
"島しょ","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1918","14","19","264","579","36","8","17","33","0","1","50","0","1","1","9","0","0","1","0","3","6","","","","","",""
