"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","0","1","0","0","0","0","0","0","0","",""
"みなと","9","6","5","4","3","1","0","0","0","",""
"新宿区","25","3","2","6","0","0","8","2","1","",""
"文京","0","0","0","0","0","0","3","5","0","",""
"台東","29","12","1","6","12","0","0","0","0","",""
"墨田区","0","1","0","0","0","0","7","0","0","",""
"江東区","3","0","0","1","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","10","0","0","",""
"渋谷区","0","0","0","0","0","0","8","6","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","8","3","3","2","1","0","11","2","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","0","1","0","0","0","1","0","0","0","",""
"板橋区","0","0","0","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","1","0","0","1","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","8","2","0","1","13","0","9","0","0","",""
"秋川","0","0","0","0","0","0","0","0","0","",""
"町田市","1","1","0","0","0","0","0","0","0","",""
"多摩川","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","8","1","1","7","0","0","0","0","0","",""
"村山大和","0","0","0","0","0","0","0","0","0","",""
"府中小金井","0","0","0","0","0","0","0","0","0","",""
"狛江調布","0","0","0","0","0","0","0","0","0","",""
"三鷹武蔵野","0","0","0","0","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","0","1","0","",""
"多摩東村山","0","0","0","0","0","0","2","1","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","93","31","12","28","29","2","61","17","1","",""
