"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","6","15","6","0","2","1","2","1","0","0","",""
"区南部","9","0","2","0","0","0","2","0","0","0","",""
"区西南部","2","9","2","0","0","0","4","4","0","0","",""
"区西部","7","7","10","1","1","0","4","0","0","0","",""
"区西北部","12","7","6","5","1","0","4","5","0","0","",""
"区東北部","5","2","1","0","1","0","2","7","0","0","",""
"区東部","9","3","0","1","5","0","3","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","7","1","1","0","0","0","0","0","0","0","",""
"北多摩西部","11","1","1","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","16","8","0","0","",""
"北多摩北部","0","0","0","0","1","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","68","45","29","7","11","1","38","26","0","0","",""
