"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","18","50","0","0","11","0","0","0","4","9","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","40","77","1","1","56","1","14","1","13","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","11","60","132","17","6","117","0","29","2","20","187","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","9","58","74","9","11","85","0","23","0","4","174","2","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","18","37","22","16","27","93","2","26","2","8","142","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","17","37","18","24","43","93","2","15","1","6","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","29","28","9","9","33","75","3","16","0","0","105","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","23","35","3","8","48","60","5","11","2","0","60","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","39","45","3","8","30","53","5","7","1","0","45","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","25","46","3","2","25","40","4","5","0","0","27","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","28","51","0","2","12","35","7","2","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","91","380","4","4","41","74","9","1","0","0","15","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","15","294","1","0","4","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","16","571","1","2","5","64","1","2","0","0","12","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","29","531","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","35","542","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","14","567","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","6","279","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","3","156","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","3","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"合計","413","3898","397","102","286","872","39","151","9","55","971","16","12","2","0","18","1","2","1","0","0","4","0","0","0","0","0","4","0"
