"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","2","0"
"1〜4歳","0","0","0","0","0","0","16","19","0"
"5〜9歳","0","0","0","0","0","0","1","2","0"
"10〜14歳","0","0","0","0","0","0","1","1","0"
"15〜19歳","17","2","1","3","2","0","0","0","0"
"20〜24歳","66","11","11","20","5","0","0","0","0"
"25〜29歳","58","12","6","18","4","2","2","0","0"
"30〜34歳","24","20","11","18","6","1","0","0","0"
"35〜39歳","25","10","12","19","6","3","0","1","0"
"40〜44歳","10","10","6","14","2","0","2","1","1"
"45〜49歳","8","7","8","6","0","0","1","1","0"
"50〜54歳","5","5","6","1","0","1","8","0","0"
"55〜59歳","3","2","3","1","1","0","8","3","0"
"60〜64歳","2","0","1","0","0","0","7","2","0"
"65〜69歳","1","0","2","0","0","0","13","1","0"
"70歳以上","0","0","0","0","0","0","48","6","1"
"合計","219","79","67","100","26","7","110","39","2"
