"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","29","1","0","4","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","2","2","0"
"中央区","48","0","0","3","26","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"みなと","68","3","2","15","9","2","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","7","5","1","1","1","0"
"新宿区","118","0","0","6","9","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","9","6","2","2","2","0"
"文京","73","1","0","4","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","3","1","1","1","0"
"台東","79","0","0","12","28","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0"
"墨田区","121","0","0","12","11","4","0","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","3","0","0","1","0"
"江東区","165","0","0","25","41","8","0","4","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","3","1","0","0","0"
"品川区","115","2","0","11","62","3","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10","6","0","0","0","0"
"目黒区","47","0","0","7","3","13","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","0","0","0"
"大田区","284","0","5","26","85","21","0","5","8","0","0","0","0","4","2","0","0","0","0","0","0","0","0","16","9","1","1","1","0"
"世田谷","395","0","0","11","53","13","2","4","7","0","0","0","0","1","0","0","0","0","0","1","0","0","0","16","8","0","2","2","0"
"渋谷区","96","0","1","4","27","6","0","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","4","1","2","1","0"
"中野区","123","0","0","6","27","7","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"杉並","258","0","1","12","67","5","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","6","0","1","1","0"
"池袋","89","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","7","5","1","1","1","0"
"北区","152","0","0","4","42","9","0","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","4","0","0","0","0"
"荒川区","118","0","1","6","31","3","1","1","1","0","0","1","0","0","1","0","0","2","0","0","0","0","0","4","2","1","0","0","0"
"板橋区","117","0","0","1","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","6","0","1","1","0"
"練馬区","222","0","0","17","14","4","0","3","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","12","5","0","0","0","0"
"足立","190","0","0","4","21","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","4","0","0","0","0"
"葛飾区","234","0","0","13","18","15","0","2","5","0","0","0","0","5","2","0","0","0","0","0","0","0","0","9","4","0","0","1","0"
"江戸川","632","1","1","18","28","14","2","6","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","11","4","0","0","0","0"
"八王子市","213","0","2","9","11","3","1","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","8","2","1","1","1","0"
"町田市","216","0","0","20","39","12","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","7","2","1","0","0","0"
"西多摩","167","0","0","3","34","13","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","5","0","1","1","0"
"南多摩","185","1","0","36","10","2","0","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","8","3","0","0","0","0"
"多摩立川","237","0","0","1","18","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","13","6","1","1","1","0"
"多摩府中","357","1","0","3","35","10","0","2","5","0","2","0","0","1","0","1","0","0","0","0","0","0","0","21","10","1","2","3","0"
"多摩小平","320","2","5","23","69","13","3","6","4","0","0","1","0","2","0","0","0","0","0","0","0","0","0","14","6","1","2","2","0"
"島しょ","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","5470","12","18","317","840","196","11","60","76","0","2","3","0","30","9","3","0","11","0","1","2","1","0","280","141","14","23","25","0"
