"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","2","0"
"1〜4歳","0","0","0","0","0","0","6","4","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","2","2","0"
"15〜19歳","0","0","0","0","0","0","2","0","0"
"20〜24歳","20","2","3","11","0","1","0","1","0"
"25〜29歳","18","6","16","15","0","2","0","1","0"
"30〜34歳","29","8","16","14","1","2","0","0","0"
"35〜39歳","19","14","18","9","0","5","0","0","0"
"40〜44歳","14","9","10","5","0","1","0","0","0"
"45〜49歳","12","10","6","7","0","0","2","0","0"
"50〜54歳","3","9","4","2","0","0","0","0","0"
"55〜59歳","2","9","3","1","0","0","2","1","0"
"60〜64歳","2","5","2","0","0","0","1","1","0"
"65〜69歳","3","1","0","1","0","0","4","0","0"
"70歳以上","0","1","0","0","0","0","20","1","0"
"合計","122","74","78","65","1","11","44","13","0"
