"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","2","0"
"1〜4歳","0","0","0","0","0","0","4","8","0"
"5〜9歳","0","0","0","0","0","0","2","2","0"
"10〜14歳","0","0","0","0","0","0","1","1","0"
"15〜19歳","3","0","0","1","0","0","0","0","0"
"20〜24歳","13","7","4","9","0","1","0","0","0"
"25〜29歳","12","8","8","18","0","1","0","0","0"
"30〜34歳","13","9","5","14","0","0","0","1","0"
"35〜39歳","11","8","8","5","0","0","0","0","0"
"40〜44歳","11","6","5","10","0","1","2","0","0"
"45〜49歳","8","5","3","5","0","0","0","0","0"
"50〜54歳","3","1","3","1","0","0","2","0","0"
"55〜59歳","3","2","1","4","0","0","3","1","0"
"60〜64歳","4","1","1","1","0","1","2","1","0"
"65〜69歳","0","0","2","0","0","1","18","1","0"
"70歳以上","0","0","0","0","0","0","41","8","1"
"合計","81","47","40","68","0","5","78","25","1"
