"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","0","0","0"
"1〜4歳","0","0","0","0","0","0","8","7","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0","0"
"15〜19歳","2","1","0","2","0","0","2","0","0","0"
"20〜24歳","13","6","2","10","0","0","0","0","1","0"
"25〜29歳","26","6","5","13","0","3","0","0","0","0"
"30〜34歳","25","8","10","19","0","2","0","0","0","0"
"35〜39歳","18","12","7","9","0","1","2","1","0","0"
"40〜44歳","10","8","9","6","0","1","0","0","0","0"
"45〜49歳","11","6","4","6","0","1","1","0","0","0"
"50〜54歳","9","3","3","1","0","2","0","0","0","0"
"55〜59歳","4","7","1","2","0","0","1","0","0","0"
"60〜64歳","5","3","1","0","0","0","5","0","0","0"
"65〜69歳","1","2","1","0","0","0","4","1","0","0"
"70歳以上","0","1","1","0","0","0","25","12","0","0"
"合計","124","63","44","68","0","10","56","22","1","0"
