"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","0","0"
"1〜4歳","0","0","0","0","0","0","2","4","0"
"5〜9歳","0","0","0","0","0","0","4","0","0"
"10〜14歳","0","0","0","0","0","0","3","1","0"
"15〜19歳","7","2","2","5","0","0","0","0","0"
"20〜24歳","55","7","16","25","3","0","0","1","0"
"25〜29歳","38","16","21","18","4","0","0","0","0"
"30〜34歳","36","6","11","11","3","0","3","0","0"
"35〜39歳","29","17","15","12","4","0","0","0","0"
"40〜44歳","8","13","10","9","1","0","0","0","0"
"45〜49歳","23","15","5","8","1","0","2","0","1"
"50〜54歳","3","6","1","3","2","0","2","0","0"
"55〜59歳","7","6","2","1","0","0","0","0","0"
"60〜64歳","1","6","0","3","0","0","2","1","0"
"65〜69歳","2","4","3","0","0","0","6","1","0"
"70歳以上","1","5","1","1","0","0","28","4","0"
"合計","210","103","87","96","18","0","62","12","1"
