"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","88","2","6","14","25","11","1","2","3","0","0","0","0","0","0","0","0","1","0","1","1","0","0","","","","","",""
"区南部","75","2","1","22","60","13","0","7","5","0","0","1","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"区西南部","106","0","2","3","29","14","1","8","3","0","0","0","0","1","0","0","0","3","0","0","0","0","0","","","","","",""
"区西部","148","1","1","9","46","15","1","3","2","1","0","0","0","4","0","1","0","1","0","1","1","0","0","","","","","",""
"区西北部","164","0","0","12","23","5","0","2","3","0","0","2","0","3","2","0","0","0","0","0","1","0","0","","","","","",""
"区東北部","104","0","3","1","17","7","1","1","3","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","","",""
"区東部","257","0","2","8","34","16","0","2","1","0","0","0","0","3","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","47","0","0","3","16","6","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","134","0","1","16","30","11","1","2","2","0","0","0","0","1","1","2","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","35","0","0","1","6","1","1","0","2","0","0","1","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","95","0","0","4","10","7","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","67","2","1","7","25","9","3","1","2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1321","7","17","101","322","117","10","33","28","1","0","5","0","20","6","3","0","7","0","2","4","0","0","","","","","",""
