"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","88","0","0","7","46","6","0","1","6","0","0","0","2","1","1","1","0","2","0","0","1","0","0","1","","","","","",""
"区南部","98","0","1","4","76","3","0","2","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","80","0","2","6","85","8","0","1","3","0","0","0","1","5","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","95","0","0","1","82","5","0","6","5","0","0","0","1","3","2","0","0","3","0","0","0","1","0","0","","","","","",""
"区西北部","170","0","2","4","53","12","0","4","3","0","1","1","0","4","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","148","0","5","1","36","20","1","1","1","0","0","1","0","3","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","83","0","0","33","62","3","0","1","2","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"西多摩","32","0","0","1","14","2","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","105","0","0","2","44","2","1","1","2","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","65","0","0","1","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","70","0","0","2","37","2","0","1","2","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","50","0","0","2","71","1","0","0","1","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1084","0","10","64","635","65","2","18","31","0","2","2","6","35","8","1","0","11","0","0","1","1","0","1","","","","","",""
