"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","9","2","23","15","1","7","1","6","0","8","5","0","1","0","0","0","0","0","0","","","","","",""
"区南部","0","11","4","6","23","3","12","1","5","1","8","8","1","0","0","1","0","0","0","0","","","","","",""
"区西南部","0","1","0","3","14","4","8","0","5","0","6","5","0","0","0","0","0","0","0","0","","","","","",""
"区西部","2","2","2","2","29","4","7","1","3","1","1","1","2","0","0","1","0","0","0","0","","","","","",""
"区西北部","0","0","1","1","11","3","6","0","7","0","5","2","2","0","0","1","0","0","0","0","","","","","",""
"区東北部","0","1","1","5","11","3","6","1","2","0","1","4","1","1","0","1","0","0","3","1","","","","","",""
"区東部","1","1","0","22","20","6","7","0","4","0","3","4","1","0","0","1","0","0","0","0","","","","","",""
"西多摩","0","1","0","1","6","0","0","0","2","1","0","1","0","0","0","0","0","0","2","0","","","","","",""
"南多摩","2","1","2","24","30","7","10","4","8","1","9","6","3","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","3","6","1","0","0","2","0","0","3","1","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","1","13","3","10","0","2","0","1","1","0","0","0","2","0","0","0","0","","","","","",""
"北多摩北部","0","0","3","5","16","3","2","0","3","0","7","1","2","1","0","4","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5","27","15","96","194","39","75","8","49","4","49","41","13","3","0","11","0","0","5","1","","","","","",""
