"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","2","1","0","0"
"1〜4歳","0","0","0","0","0","0","3","0","0","0"
"5〜9歳","0","0","0","0","0","0","4","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","2","1","0","0","0","0","0","0","0"
"20〜24歳","25","7","4","8","2","0","1","0","0","0"
"25〜29歳","28","13","9","15","2","0","0","0","0","0"
"30〜34歳","18","10","1","5","2","0","1","0","0","0"
"35〜39歳","8","6","5","4","0","0","0","0","0","0"
"40〜44歳","8","8","0","4","1","0","1","0","0","0"
"45〜49歳","5","6","2","7","0","0","2","0","0","0"
"50〜54歳","3","0","2","2","0","0","1","0","0","0"
"55〜59歳","0","0","0","0","0","0","3","0","0","0"
"60〜64歳","0","1","0","0","0","0","0","1","0","0"
"65〜69歳","0","0","0","0","0","0","1","0","0","0"
"70歳以上","0","0","0","0","0","0","9","2","1","0"
"合計","97","53","24","45","7","0","28","4","1","0"
