"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","14","5","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","67","13","1","1","40","0","0","1","1","1","2","1","0","0","0","0","0","0","0","0"
"1歳","1","0","1","3","153","37","2","3","22","1","0","2","1","7","2","0","0","2","0","0","0","0","0","0"
"2歳","5","0","2","4","133","31","4","1","1","0","1","2","1","15","2","0","0","0","0","0","0","0","0","0"
"3歳","2","0","1","9","146","25","1","3","1","0","0","2","0","12","2","0","0","1","0","0","0","0","0","0"
"4歳","3","0","2","9","168","42","1","6","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0"
"5歳","3","0","0","18","164","26","2","8","1","0","0","1","0","17","0","0","0","1","0","0","0","0","0","0"
"6歳","0","0","0","18","125","18","2","1","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","13","107","8","2","1","0","0","0","2","0","12","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","1","8","104","4","0","2","0","0","0","0","1","10","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","6","62","0","0","0","0","0","0","0","0","3","1","0","0","1","0","0","0","0","0","0"
"10〜14歳","1","0","0","8","148","11","2","1","0","0","0","2","0","13","0","0","0","1","0","0","0","0","0","0"
"15〜19歳","1","0","0","0","36","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","0","0","5","246","5","0","0","0","0","0","6","0","3","0","0","1","4","0","0","0","1","0","2"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","32","0","8","101","1673","225","17","27","65","1","1","18","4","137","11","2","1","16","0","0","2","1","0","2"
