"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","2","3","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"〜1歳","3","1","1","0","22","7","0","1","12","0","0","0","2","0","0","0","0","0","0","0"
"1歳","33","0","1","3","60","17","2","1","16","0","0","2","2","1","0","0","0","0","0","0"
"2歳","46","0","5","10","49","22","0","3","5","0","0","6","1","0","0","0","0","0","0","0"
"3歳","52","0","2","11","45","14","0","2","0","0","1","6","0","0","0","0","0","0","0","0"
"4歳","77","0","1","16","36","16","0","2","0","0","0","6","0","0","0","0","0","0","1","0"
"5歳","105","0","0","21","29","6","0","0","0","0","0","11","0","0","0","0","0","0","0","0"
"6歳","131","0","1","19","30","3","0","6","0","0","0","16","0","0","0","0","0","0","0","0"
"7歳","140","0","0","14","16","2","0","1","0","0","0","4","0","0","0","0","0","0","1","0"
"8歳","137","0","0","8","17","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0"
"9歳","115","0","0","10","21","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"10〜14歳","290","0","3","15","44","1","0","1","0","0","0","10","0","0","0","0","0","0","0","0"
"15〜19歳","50","0","0","2","5","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"20〜29歳","41","0","2","6","25","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"30〜39歳","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"40〜49歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"50〜59歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1279","4","16","135","401","93","2","18","33","0","1","70","6","1","0","10","0","0","3","1"
