"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","111","108","219","55"
"性器ヘルペスウイルス感染症","48","32","80","55"
"尖圭コンジローマ","48","31","79","55"
"淋菌感染症","72","14","86","55"
"膣トリコモナス症","2","14","16","55"
"梅毒様疾患","3","5","8","55"
"メチシリン耐性黄色ブドウ球菌感染症","86","56","142","25"
"ペニシリン耐性肺炎球菌感染症","39","30","69","25"
"薬剤耐性緑膿菌感染症","2","1","3","25"
