"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","3","1","0","0"
"1〜4歳","0","0","0","0","0","0","5","4","0","0"
"5〜9歳","0","0","0","0","0","0","2","0","0","0"
"10〜14歳","0","0","0","0","0","0","3","0","0","0"
"15〜19歳","1","0","1","2","0","0","0","0","0","0"
"20〜24歳","13","3","5","13","1","0","0","0","0","0"
"25〜29歳","25","5","11","16","0","0","0","0","0","0"
"30〜34歳","18","13","15","8","0","2","0","0","0","0"
"35〜39歳","18","10","9","12","0","2","0","0","0","0"
"40〜44歳","21","10","6","13","0","2","1","0","0","0"
"45〜49歳","11","6","8","4","0","1","1","0","0","0"
"50〜54歳","6","1","1","2","0","1","2","0","0","0"
"55〜59歳","3","1","0","0","0","0","3","0","0","0"
"60〜64歳","0","2","2","2","0","0","3","1","0","0"
"65〜69歳","1","1","0","0","0","1","3","0","0","0"
"70歳以上","0","1","1","0","0","0","23","6","1","0"
"合計","117","53","59","72","1","9","49","12","1","0"
