"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","20","0","0","3","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中央区","42","0","2","8","28","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","70","0","4","9","20","1","1","0","3","1","0","0","0","0","0","0","0","2","0","0","0","","","","","",""
"新宿区","73","0","0","17","31","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","2","","","","","",""
"文京","83","0","0","2","17","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"台東","58","1","12","14","47","1","5","2","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","44","0","2","6","18","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","2","","","","","",""
"江東区","120","0","0","36","56","5","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","59","0","4","10","47","9","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","71","0","3","13","22","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","177","1","3","22","89","5","1","0","3","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"世田谷","266","0","4","23","86","5","2","1","2","1","0","0","0","0","1","0","0","0","0","0","9","","","","","",""
"渋谷区","55","0","0","1","11","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","146","0","2","17","37","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","200","0","2","12","58","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"池袋","89","2","1","1","12","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","116","1","0","6","18","2","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","95","5","0","8","21","4","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","189","0","1","11","43","1","1","0","8","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","192","3","0","33","61","7","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","215","4","4","20","45","1","9","0","4","2","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","174","2","1","8","40","1","8","0","2","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"江戸川","209","1","1","31","62","4","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","314","2","3","29","74","9","23","2","3","2","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","199","0","0","9","45","3","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","115","0","2","13","21","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","","","","","",""
"南多摩","151","0","3","20","34","7","12","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","251","0","1","5","57","7","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","465","1","5","32","82","6","8","3","6","0","0","0","1","0","1","0","0","1","0","0","6","","","","","",""
"多摩小平","359","2","7","44","74","2","8","0","4","1","0","0","0","0","0","0","0","0","0","0","10","","","","","",""
"島しょ","60","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4677","25","67","463","1258","95","125","15","59","14","6","2","2","0","4","0","0","5","0","0","41","","","","","",""
