"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","15","2","0","15","2","0","0","5","0","10","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","19","1","2","114","6","19","0","78","0","160","0","9","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","17","24","12","146","24","68","3","103","0","527","7","10","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"2歳","1","9","11","30","119","30","61","6","17","0","399","6","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","0","1","23","32","95","34","64","4","1","0","265","6","10","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"4歳","1","0","22","50","90","33","37","3","0","0","225","20","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","41","62","73","19","27","3","1","1","180","13","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"6歳","0","0","14","57","69","16","23","5","0","0","85","8","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","1","0","5","44","57","1","16","3","0","0","54","6","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"8歳","1","0","5","27","56","4","5","0","0","0","35","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"9歳","0","0","3","12","25","2","5","0","0","0","29","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","7","38","78","3","3","3","0","1","24","5","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","1","2","13","0","0","2","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","8","20","102","1","5","1","0","3","17","1","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","6","61","167","388","1052","175","333","33","205","6","2010","77","51","3","0","23","2","4","22","0","0","0","0","0","0","0","0","0"
