"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","86","81","167","41"
"性器ヘルペスウイルス感染症","43","40","83","41"
"尖圭コンジローマ","48","17","65","41"
"淋菌感染症","65","22","87","41"
"膣トリコモナス症","0","4","4","41"
"梅毒様疾患","6","2","8","41"
"メチシリン耐性黄色ブドウ球菌感染症","84","38","122","25"
"ペニシリン耐性肺炎球菌感染症","15","12","27","25"
"薬剤耐性緑膿菌感染症","2","1","3","25"
