"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","0","1","1","0","0","1","0","8","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","3","4","1","0","17","0","72","0","3","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","3","5","8","3","7","30","2","261","5","12","8","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","5","6","3","2","5","26","0","215","8","5","10","0","0","1","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"3歳","5","1","3","3","7","27","1","200","13","1","6","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"4歳","9","0","1","4","10","18","0","218","22","0","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","12","5","0","4","23","28","0","169","16","0","3","2","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","6","7","0","0","17","22","6","120","21","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","9","3","0","2","29","13","0","58","10","0","2","1","1","0","0","0","0","1","5","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"8歳","6","2","0","0","17","19","4","55","6","0","1","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","9","5","0","0","8","16","2","40","5","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","27","34","0","0","27","28","5","39","1","0","3","1","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","11","39","0","1","4","10","0","8","0","0","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","5","28","0","1","24","40","1","19","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","24","40","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","9","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","10","58","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"60〜69歳","6","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"70〜79歳","4","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","1","0","9"
"80歳以上","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","19","0","0","0","0","0","2","0","2","0","17"
"合計","163","398","20","21","178","295","21","1482","110","23","53","8","6","1","1","5","0","4","44","1","0","4","35","0","0","0","0","0","4","0","3","0","32"
