"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","4","0","0","4","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","12","1","0","37","6","58","0","23","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","14","9","3","52","10","205","1","36","0","40","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","3","4","5","33","13","110","3","7","0","29","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","0","3","7","11","31","9","68","1","1","0","17","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","4","10","21","11","44","0","0","0","16","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","0","1","3","10","18","9","30","2","0","0","6","6","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","6","8","9","5","19","1","0","0","9","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","2","3","13","4","19","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","4","10","11","4","8","0","0","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","3","10","1","6","0","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","4","4","32","1","13","0","0","0","5","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","2","0","10","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","2","34","1","10","0","0","0","1","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1","37","47","69","315","75","598","8","67","0","152","25","15","3","1","9","0","2","4","0","0","0","0","0","0","0","0","0"
