"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","18","1","1","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","35","4","1","2","41","1","1","1","14","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","215","6","6","8","109","4","3","0","29","0","0","0","3","1","0","3","0","0","1","0","1","1","0","0","0","0","0","1","0"
"2歳","206","2","8","19","69","4","1","2","7","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","262","1","2","28","72","6","2","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","380","0","2","36","87","2","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","340","1","1","46","63","4","0","3","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","366","0","1","37","68","6","0","4","0","0","0","4","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0"
"7歳","372","0","1","30","56","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","1","0","1","0","1","1","1"
"8歳","309","0","1","19","52","3","1","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","301","0","0","15","46","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","1180","1","0","33","129","2","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","554","0","1","4","45","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","306","0","0","7","115","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
"30〜39歳","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","6","0"
"70〜79歳","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","9","0"
"80歳以上","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","12","0"
"合計","5989","16","25","284","955","34","8","18","51","0","0","35","8","2","0","11","0","0","3","0","2","34","2","1","1","0","1","32","1"
