"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","0","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","4","0","0","2","15","4","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"みなと","4","2","0","2","13","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","","","","","",""
"新宿区","18","0","0","1","33","3","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"文京","9","0","0","0","11","0","0","3","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"台東","9","0","0","1","20","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","10","0","0","0","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","7","0","0","6","29","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","13","0","0","2","20","9","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","10","0","0","1","9","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","21","0","5","12","60","4","0","1","4","0","1","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"世田谷","35","0","0","1","34","10","0","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","9","0","0","0","19","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","29","0","0","3","26","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","15","0","0","4","16","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","4","0","0","0","12","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"北区","18","0","1","8","21","5","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","2","0","0","8","3","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","16","0","0","1","9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","27","0","0","4","11","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","5","0","0","1","21","2","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","18","0","0","2","27","5","0","2","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","22","0","0","9","76","9","0","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","3","0","0","0","7","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"秋川","14","0","0","11","13","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","12","0","0","1","19","3","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩川","23","0","0","1","20","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","21","0","0","0","24","1","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","14","0","0","0","12","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"村山大和","8","0","0","1","5","0","0","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","","","","","",""
"府中小金井","23","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"狛江調布","25","0","0","1","9","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"三鷹武蔵野","13","0","0","0","18","6","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩小平","26","2","0","5","14","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩東村山","20","0","0","4","21","5","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","","","","","",""
"島しょ","4","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","515","4","6","92","662","110","1","28","37","0","6","2","1","15","4","3","0","14","0","0","0","0","0","","","","","",""
